chapterID,characterID,event,details,withID
19,808,mentionned,,
19,851,mentionned,,
19,1329,mentionned,,
19,1434,mentionned,,
19,1451,mentionned,,
19,1586,mentionned,,
19,1716,mentionned,,
19,1808,mentionned,,
20,27,mentionned,,
20,121,mentionned,,
20,136,mentionned,,
20,154,mentionned,,
20,163,mentionned,,
20,240,mentionned,,
20,243,mentionned,,
20,287,mentionned,,
20,456,mentionned,,
20,719,mentionned,,
20,772,mentionned,,
20,831,mentionned,,
20,836,mentionned,,
20,868,mentionned,,
20,1013,mentionned,,
20,1015,mentionned,,
20,1035,mentionned,,
20,1186,mentionned,,
20,1303,mentionned,,
20,1326,mentionned,,
20,1396,mentionned,,
20,1404,mentionned,,
20,1434,mentionned,,
20,1451,mentionned,,
20,1530,mentionned,,
20,1586,mentionned,,
20,1648,mentionned,,
20,1716,mentionned,,
20,1727,mentionned,,
20,1757,mentionned,,
20,1758,mentionned,,
20,1860,mentionned,,
21,20,mentionned,,
21,27,mentionned,,
21,194,mentionned,,
21,237,mentionned,,
21,240,mentionned,,
21,456,mentionned,,
21,557,mentionned,,
21,630,mentionned,,
21,785,mentionned,,
21,793,mentionned,,
21,808,mentionned,,
21,851,mentionned,,
21,1045,mentionned,,
21,1142,mentionned,,
21,1329,mentionned,,
21,1426,mentionned,,
21,1431,mentionned,,
21,1434,mentionned,,
21,1716,mentionned,,
21,1727,mentionned,,
21,1808,mentionned,,
21,1872,mentionned,,
21,1873,mentionned,,
22,136,mentionned,,
22,240,mentionned,,
22,243,mentionned,,
22,298,mentionned,,
22,456,mentionned,,
22,708,mentionned,,
22,760,mentionned,,
22,818,mentionned,,
22,831,mentionned,,
22,851,mentionned,,
22,868,mentionned,,
22,1015,mentionned,,
22,1142,mentionned,,
22,1157,mentionned,,
22,1186,mentionned,,
22,1195,mentionned,,
22,1422,mentionned,,
22,1426,mentionned,,
22,1431,mentionned,,
22,1434,mentionned,,
22,1451,mentionned,,
22,1528,mentionned,,
22,1530,mentionned,,
22,1621,mentionned,,
22,1758,mentionned,,
23,8,mentionned,,
23,352,mentionned,,
23,438,mentionned,,
23,771,mentionned,,
23,775,mentionned,,
23,825,mentionned,,
23,826,mentionned,,
23,862,mentionned,,
23,1339,mentionned,,
23,1404,mentionned,,
23,1770,mentionned,,
24,27,mentionned,,
24,154,mentionned,,
24,194,mentionned,,
24,240,mentionned,,
24,243,mentionned,,
24,708,mentionned,,
24,736,mentionned,,
24,760,mentionned,,
24,808,mentionned,,
24,851,mentionned,,
24,868,mentionned,,
24,1013,mentionned,,
24,1422,mentionned,,
24,1426,mentionned,,
24,1431,mentionned,,
24,1434,mentionned,,
24,1451,mentionned,,
24,1648,mentionned,,
24,1716,mentionned,,
24,1758,mentionned,,
24,1808,mentionned,,
24,1873,mentionned,,
25,295,mentionned,,
25,319,mentionned,,
25,456,mentionned,,
25,755,mentionned,,
25,836,mentionned,,
25,1303,mentionned,,
25,1326,mentionned,,
25,1434,mentionned,,
25,1757,mentionned,,
26,630,mentionned,,
26,851,mentionned,,
26,1329,mentionned,,
26,1373,mentionned,,
26,1527,mentionned,,
26,1716,mentionned,,
27,456,mentionned,,
27,586,mentionned,,
27,790,mentionned,,
27,836,mentionned,,
27,868,mentionned,,
27,1015,mentionned,,
27,1066,mentionned,,
27,1396,mentionned,,
27,1434,mentionned,,
27,1586,mentionned,,
28,240,mentionned,,
28,287,mentionned,,
28,746,mentionned,,
28,1451,mentionned,,
28,1716,mentionned,,
28,1873,mentionned,,
29,121,mentionned,,
29,155,mentionned,,
29,163,mentionned,,
29,204,mentionned,,
29,287,mentionned,,
29,295,mentionned,,
29,501,mentionned,,
29,629,mentionned,,
29,708,mentionned,,
29,744,mentionned,,
29,755,mentionned,,
29,785,mentionned,,
29,792,mentionned,,
29,818,mentionned,,
29,831,mentionned,,
29,868,mentionned,,
29,970,mentionned,,
29,987,mentionned,,
29,1140,mentionned,,
29,1157,mentionned,,
29,1303,mentionned,,
29,1396,mentionned,,
29,1429,mentionned,,
29,1434,mentionned,,
29,1528,mentionned,,
29,1530,mentionned,,
29,1653,mentionned,,
29,1872,mentionned,,
30,121,mentionned,,
30,136,mentionned,,
30,163,mentionned,,
30,234,mentionned,,
30,240,mentionned,,
30,295,mentionned,,
30,456,mentionned,,
30,465,mentionned,,
30,629,mentionned,,
30,755,mentionned,,
30,785,mentionned,,
30,836,mentionned,,
30,970,mentionned,,
30,1066,mentionned,,
30,1140,mentionned,,
30,1396,mentionned,,
30,1528,mentionned,,
30,1586,mentionned,,
30,1653,mentionned,,
30,1757,mentionned,,
31,287,mentionned,,
31,785,mentionned,,
31,970,mentionned,,
31,1303,mentionned,,
31,1716,mentionned,,
31,1727,mentionned,,
32,136,mentionned,,
32,287,mentionned,,
32,295,mentionned,,
32,456,mentionned,,
32,771,mentionned,,
32,970,mentionned,,
32,1066,mentionned,,
32,1195,mentionned,,
32,1303,mentionned,,
32,1396,mentionned,,
32,1434,mentionned,,
32,1586,mentionned,,
32,1621,mentionned,,
32,1676,mentionned,,
32,1716,mentionned,,
32,1757,mentionned,,
32,1873,mentionned,,
33,163,mentionned,,
33,352,mentionned,,
33,456,mentionned,,
33,836,mentionned,,
33,862,mentionned,,
33,1303,mentionned,,
33,1326,mentionned,,
33,1396,mentionned,,
33,1434,mentionned,,
33,1486,mentionned,,
33,1757,mentionned,,
33,1758,mentionned,,
33,1770,mentionned,,
34,256,mentionned,,
34,265,mentionned,,
34,287,mentionned,,
34,319,mentionned,,
34,462,mentionned,,
34,746,mentionned,,
34,836,mentionned,,
34,1303,mentionned,,
34,1432,mentionned,,
34,1451,mentionned,,
34,1716,mentionned,,
34,1754,mentionned,,
35,161,mentionned,,
35,328,mentionned,,
35,456,mentionned,,
35,465,mentionned,,
35,785,mentionned,,
35,868,mentionned,,
35,1015,mentionned,,
35,1303,mentionned,,
35,1326,mentionned,,
35,1396,mentionned,,
35,1404,mentionned,,
35,1434,mentionned,,
35,1545,mentionned,,
35,1586,mentionned,,
35,1716,mentionned,,
36,352,mentionned,,
36,438,mentionned,,
36,456,mentionned,,
36,862,mentionned,,
36,1404,mentionned,,
36,1434,mentionned,,
36,1586,mentionned,,
36,1727,mentionned,,
36,1770,mentionned,,
37,194,mentionned,,
37,240,mentionned,,
37,456,mentionned,,
37,785,mentionned,,
37,868,mentionned,,
37,1013,mentionned,,
37,1057,mentionned,,
37,1255,mentionned,,
37,1431,mentionned,,
37,1599,mentionned,,
37,1648,mentionned,,
38,256,mentionned,,
38,1432,mentionned,,
38,1716,mentionned,,
38,1754,mentionned,,
39,130,mentionned,,
39,161,mentionned,,
39,295,mentionned,,
39,456,mentionned,,
39,785,mentionned,,
39,1015,mentionned,,
39,1404,mentionned,,
39,1434,mentionned,,
39,1758,mentionned,,
40,256,mentionned,,
40,265,mentionned,,
40,287,mentionned,,
40,319,mentionned,,
40,462,mentionned,,
40,785,mentionned,,
40,836,mentionned,,
40,1432,mentionned,,
40,1451,mentionned,,
40,1586,mentionned,,
40,1716,mentionned,,
40,1754,mentionned,,
41,20,mentionned,,
41,630,mentionned,,
41,851,mentionned,,
41,1013,mentionned,,
41,1329,mentionned,,
41,1527,mentionned,,
42,256,mentionned,,
42,785,mentionned,,
42,1716,mentionned,,
42,1719,mentionned,,
42,1727,mentionned,,
43,204,mentionned,,
43,456,mentionned,,
43,462,mentionned,,
43,629,mentionned,,
43,772,mentionned,,
43,970,mentionned,,
43,1382,mentionned,,
43,1434,mentionned,,
43,1653,mentionned,,
43,1727,mentionned,,
43,1757,mentionned,,
44,20,mentionned,,
44,136,mentionned,,
44,204,mentionned,,
44,456,mentionned,,
44,629,mentionned,,
44,818,mentionned,,
44,831,mentionned,,
44,836,mentionned,,
44,970,mentionned,,
44,1434,mentionned,,
44,1530,mentionned,,
44,1621,mentionned,,
44,1873,mentionned,,
45,240,mentionned,,
45,295,mentionned,,
45,456,mentionned,,
45,629,mentionned,,
45,785,mentionned,,
45,831,mentionned,,
45,836,mentionned,,
45,868,mentionned,,
45,1015,mentionned,,
45,1303,mentionned,,
45,1326,mentionned,,
45,1434,mentionned,,
45,1528,mentionned,,
45,1727,mentionned,,
46,352,mentionned,,
46,438,mentionned,,
46,862,mentionned,,
46,1406,mentionned,,
46,1770,mentionned,,
47,154,mentionned,,
47,163,mentionned,,
47,295,mentionned,,
47,456,mentionned,,
47,790,mentionned,,
47,831,mentionned,,
47,836,mentionned,,
47,922,mentionned,,
47,1035,mentionned,,
47,1294,mentionned,,
47,1303,mentionned,,
47,1396,mentionned,,
47,1434,mentionned,,
47,1586,mentionned,,
47,1757,mentionned,,
48,237,mentionned,,
48,851,mentionned,,
48,862,mentionned,,
48,1527,mentionned,,
49,163,mentionned,,
49,295,mentionned,,
49,456,mentionned,,
49,790,mentionned,,
49,831,mentionned,,
49,970,mentionned,,
49,1303,mentionned,,
49,1396,mentionned,,
49,1434,mentionned,,
49,1586,mentionned,,
49,1757,mentionned,,
50,136,mentionned,,
50,456,mentionned,,
50,1140,mentionned,,
50,1621,mentionned,,
51,234,mentionned,,
51,287,mentionned,,
51,295,mentionned,,
51,456,mentionned,,
51,746,mentionned,,
51,818,mentionned,,
51,831,mentionned,,
51,1303,mentionned,,
51,1434,mentionned,,
51,1530,mentionned,,
51,1758,mentionned,,
52,20,mentionned,,
52,194,mentionned,,
52,450,mentionned,,
52,456,mentionned,,
52,793,mentionned,,
52,851,mentionned,,
52,862,mentionned,,
52,1267,mentionned,,
52,1527,mentionned,,
53,240,mentionned,,
53,456,mentionned,,
53,736,mentionned,,
53,852,mentionned,,
53,1013,mentionned,,
53,1057,mentionned,,
53,1201,mentionned,,
53,1255,mentionned,,
53,1431,mentionned,,
53,1434,mentionned,,
53,1486,mentionned,,
54,352,mentionned,,
54,438,mentionned,,
54,771,mentionned,,
54,862,mentionned,,
54,1406,mentionned,,
54,1434,mentionned,,
55,204,mentionned,,
55,265,mentionned,,
55,287,mentionned,,
55,295,mentionned,,
55,456,mentionned,,
55,629,mentionned,,
55,746,mentionned,,
55,785,mentionned,,
55,852,mentionned,,
55,1382,mentionned,,
55,1431,mentionned,,
55,1451,mentionned,,
55,1486,mentionned,,
55,1530,mentionned,,
55,1727,mentionned,,
55,1857,mentionned,,
56,204,mentionned,,
56,462,mentionned,,
56,785,mentionned,,
56,1431,mentionned,,
56,1553,mentionned,,
56,1660,mentionned,,
56,1716,mentionned,,
56,1727,mentionned,,
57,163,mentionned,,
57,295,mentionned,,
57,456,mentionned,,
57,785,mentionned,,
57,790,mentionned,,
57,831,mentionned,,
57,1528,mentionned,,
57,1530,mentionned,,
58,136,mentionned,,
58,287,mentionned,,
58,295,mentionned,,
58,456,mentionned,,
58,483,mentionned,,
58,771,mentionned,,
58,851,mentionned,,
58,922,mentionned,,
58,1015,mentionned,,
58,1303,mentionned,,
58,1404,mentionned,,
58,1431,mentionned,,
58,1434,mentionned,,
58,1530,mentionned,,
58,1586,mentionned,,
58,1716,mentionned,,
58,1727,mentionned,,
58,1757,mentionned,,
59,136,mentionned,,
59,265,mentionned,,
59,287,mentionned,,
59,462,mentionned,,
59,719,mentionned,,
59,746,mentionned,,
59,836,mentionned,,
59,975,mentionned,,
59,1431,mentionned,,
59,1432,mentionned,,
59,1598,mentionned,,
59,1727,mentionned,,
60,20,mentionned,,
60,793,mentionned,,
60,808,mentionned,,
60,851,mentionned,,
60,1527,mentionned,,
61,352,mentionned,,
61,438,mentionned,,
61,862,mentionned,,
61,1145,mentionned,,
61,1404,mentionned,,
62,2,mentionned,,
62,256,mentionned,,
62,629,mentionned,,
62,1309,mentionned,,
62,1431,mentionned,,
62,1486,mentionned,,
62,1552,mentionned,,
62,1553,mentionned,,
62,1660,mentionned,,
62,1716,mentionned,,
62,1727,mentionned,,
62,1857,mentionned,,
63,265,mentionned,,
63,287,mentionned,,
63,382,mentionned,,
63,455,mentionned,,
63,785,mentionned,,
63,1431,mentionned,,
63,1684,mentionned,,
63,1727,mentionned,,
64,352,mentionned,,
64,438,mentionned,,
64,862,mentionned,,
64,1145,mentionned,,
64,1337,mentionned,,
64,1339,mentionned,,
65,136,mentionned,,
65,295,mentionned,,
65,456,mentionned,,
65,772,mentionned,,
65,790,mentionned,,
65,831,mentionned,,
65,1757,mentionned,,
65,1873,mentionned,,
66,240,mentionned,,
66,456,mentionned,,
66,736,mentionned,,
66,851,mentionned,,
66,1013,mentionned,,
66,1255,mentionned,,
