message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length
t1066	7	from	mention				1352770656		t2082	
t1240	7	from	mention				1352769427		t2085	
t1545	7	to	mention				1353373361		t2129	
t744	7	from	mention				1353373657		t2130	
t1559	7	to	mention				1353461264		t2146	
t941	7	to	mention				1354236936		t2173	
t1676	7	from	mention				1354233697		t2174	
t1647	7	from	mention				1354753885		t2187	
t1546	7	to	mention				1356742229		t2372	
t982	7	to	mention				1356742177		t2373	
t1225	7	to	mention				1356742293		t2374	
t1086	7	from	dm				1342656739		dm7	
t1132	7	to	dm				1343868636		dm7	
t1744	7	from	dm				1343869627		dm7	
t1715	7	from	dm				1343869979		dm7	
t1596	7	to	dm				1343870425		dm7	
t1205	7	from	dm				1344558648		dm7	
t1154	7	from	dm				1344558686		dm7	
t1170	7	to	dm				1344558704		dm7	
t1074	7	to	dm				1344558761		dm7	
t1104	7	from	dm				1351814944		dm7	
t1251	7	from	dm				1351814954		dm7	
t9	7	from	dm				1351815048		dm7	
t1648	7	to	dm				1351818772		dm7	
t1278	7	from	dm				1351818929		dm7	
t1743	7	to	dm				1351818989		dm7	
t1711	7	from	dm				1351818997		dm7	
t1102	7	from	dm				1354149502		dm7	
t1601	7	to	dm				1354150499		dm7	
t1076	7	from	dm				1354152255		dm7	
t1238	8	to	mention				1335489123		t685	
t195	8	to	mention				1336008243		t734	
t352	8	to	mention				1336004531		t735	
t61	8	to	mention				1337821624		t889	
t197	8	to	mention				1337822208		t892	
t196	8	to	mention				1337822171		t893	
t199	12	to	mention				1341105959		t1239	
t200	12	to	mention				1341274109		t1265	
t202	12	to	mention				1341277461		t1266	
t1680	12	to	mention				1341363427		t1272	
t198	12	from	mention				1344387505		t1563	
t832	12	from	mention				1344388758		t1563	
t833	12	from	mention				1344387592		t1563	
t831	12	from	mention				1344384513		t1563	
t201	12	to	mention				1350522401		t1889	
t531	12	from	mention				1350522561		t1889	
t535	12	from	mention				1350606374		t1906	
t1225	12	to	mention				1356742293		t2374	
t1499	14	to	mention				1348359108		t1732	
t32	15	to	mention				1336439961		t765	
t808	15	to	mention				1336613523		t787	
t59	15	to	mention				1337041076		t819	
t58	15	to	mention				1337043828		t821	
t1244	15	to	mention				1337130671		t828	
t809	15	to	mention				1338337296		t941	
t804	15	to	mention				1338514165		t963	
t806	15	to	mention				1338514203		t964	
t805	15	to	mention				1338514188		t965	
t807	15	to	mention				1339115381		t1009	
t1531	15	to	mention				1339115823		t1011	
t1337	15	to	mention				1339203296		t1016	
t190	15	to	mention				1339203071		t1021	
t1532	15	to	mention				1339892163		t1091	
t1333	15	to	mention				1346031419		t1610	
t975	15	from	mention				1346031517		t1611	
t1469	16	to	mention				1326157162		t44	
t1164	16	to	mention				1329959411		t220	
t1216	16	to	mention				1331598337		t354	
t898	16	to	mention				1334365627		t592	
t1341	16	to	mention				1334970993		t637	
t1719	16	to	mention				1335489464		t689	
t1543	16	to	mention				1335571841		t700	
t1569	16	to	mention				1335747881		t706	
t879	16	to	mention				1335831318		t721	
t942	16	to	mention				1337733093		t862	
t1289	16	to	mention				1337822928		t884	
t883	16	to	mention				1339118729		t1007	
t29	16	to	mention				1339723076		t1058	
t1084	16	to	mention				1340241419		t1134	
t1403	16	to	mention				1341706593		t1360	
t1021	16	to	mention				1344559121		t1569	
t477	16	from	mention				1345422247		t1604	
t435	16	from	mention				1346029165		t1613	
t1633	16	to	mention				1350090044		t1826	
t1713	16	from	mention				1350090244		t1827	
t1277	16	from	mention				1350176909		t1828	
t1011	16	from	mention				1350349116		t1850	
t723	16	to	mention				1352160318		t2038	
t880	16	to	mention				1352592565		t2071	
t203	16	to	mention				1352854215		t2096	
t386	16	from	mention				1352854297		t2096	
t882	16	to	mention				1352854353		t2096	
t881	16	from	mention				1352854416		t2096	
t749	16	to	mention				1352854461		t2096	
t750	16	from	mention				1352854525		t2096	
t43	16	from	mention				1352854507		t2096	
t751	16	from	mention				1352854623		t2096	
t42	16	from	mention				1352854698		t2096	
t878	16	from	mention				1352854792		t2096	
