24636	1	from
24354	6	to
24355	6	to
24356	6	to
24357	6	to
24419	6	to
24420	6	to
24421	6	to
24422	6	to
24423	6	to
24424	6	to
24425	6	to
24498	6	to
24499	6	to
24619	6	to
24620	6	to
24621	6	to
24630	6	to
24354	7	to
24355	7	to
24356	7	to
24357	7	to
24419	7	to
24420	7	to
24421	7	to
24422	7	to
24423	7	to
24424	7	to
24425	7	to
24498	7	to
24499	7	to
24619	7	to
24620	7	to
24621	7	from
24621	7	to
24630	7	to
24354	16	to
24355	16	to
24356	16	to
24357	16	to
24419	16	to
24420	16	to
24421	16	to
24422	16	from
24422	16	to
24423	16	from
24423	16	to
24424	16	to
24425	16	from
24425	16	to
24498	16	to
24499	16	to
24619	16	from
24619	16	to
24620	16	to
24621	16	to
24630	16	from
24630	16	to
24581	21	from
24413	30	from
24414	30	from
24415	30	from
24417	30	from
24418	30	from
24458	30	to
24557	30	from
24558	30	from
24582	30	from
24354	37	to
24355	37	to
24356	37	to
24357	37	to
24419	37	to
24420	37	to
24421	37	to
24422	37	to
24423	37	to
24424	37	to
24425	37	to
24498	37	to
24499	37	to
24619	37	to
24620	37	to
24621	37	to
24630	37	to
24354	45	to
24355	45	from
24355	45	from
24355	45	to
24356	45	to
24357	45	from
24357	45	from
24357	45	to
24419	45	from
24419	45	from
24419	45	to
24420	45	to
24421	45	to
24422	45	to
24423	45	to
24424	45	to
24425	45	to
24498	45	to
24499	45	to
24619	45	to
24620	45	to
24621	45	to
24630	45	to
24354	49	to
24355	49	to
24356	49	to
24357	49	to
24419	49	to
24420	49	to
24421	49	to
24422	49	to
24423	49	to
24424	49	from
24424	49	to
24425	49	to
24450	49	to
24451	49	to
24452	49	from
24453	49	from
24498	49	from
24498	49	to
24499	49	to
24619	49	to
24620	49	to
24621	49	to
24630	49	to
24574	50	from
24577	56	from
24612	56	to
24613	56	from
24437	84	to
24438	84	to
24440	84	from
24354	90	to
24355	90	to
24356	90	from
24356	90	to
24357	90	to
24419	90	to
24420	90	from
24420	90	to
24421	90	from
24421	90	to
24422	90	to
24423	90	to
24424	90	to
24425	90	to
24498	90	to
24499	90	from
24499	90	to
24619	90	to
24620	90	from
24620	90	to
24621	90	to
24630	90	to
24354	99	to
24355	99	to
24356	99	to
24357	99	to
24419	99	to
24420	99	to
24421	99	to
24422	99	to
24423	99	to
24424	99	to
24425	99	to
24498	99	to
24499	99	to
24619	99	to
24620	99	to
24621	99	to
24630	99	to
24354	111	from
24354	111	to
24355	111	to
24356	111	to
24357	111	to
24419	111	to
24420	111	to
24421	111	to
24422	111	to
24423	111	to
24424	111	to
24425	111	to
24498	111	to
24499	111	to
24619	111	to
24620	111	to
24621	111	to
24630	111	to
24354	118	to
24355	118	to
24356	118	to
24357	118	to
24419	118	to
24420	118	to
24421	118	to
24422	118	to
24423	118	to
24424	118	to
24425	118	to
24498	118	to
24499	118	to
24619	118	to
24620	118	to
24621	118	to
24630	118	to
